Hash;Primer;Domain;Phylym;Class;Order;Family;Genus;Species
df60c38bfd2a7c22a92540e012f43a7fb1bfe355;18S;Eukaryota;Nematoda;Enoplea;Triplonchida;Prismatolaimidae;Prismatolaimus;Prismatolaimus intermedius
2e21738926323ff24ec1bb2012f1a1c6466bd621;18S;Eukaryota;Ochrophyta;Phaeophyceae;Ectocarpales;Acinetosporaceae;Pylaiella;Pylaiella littoralis
dbcbc51e8434dc21933ad486f534dce55e2cc9fb;18S;Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Rhodomela;Rhodomela confervoides
aa355f552198a3b5805d6e928e9d20c0f690c0df;18S;Eukaryota;Rhodophyta;NA;NA;NA;NA;NA
8b074cff9bf6bb6a69646e96fd50ec2f6c72ab97;18S;Eukaryota;Annelida;Polychaeta;NA;Scalibregmatidae;Scalibregma;Scalibregma inflatum
efc94cf055e99a276a217b0e5ced8f52ecd34db3;18S;Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Pseudotachidiidae;Sentiropsis;NA
c08b2a5a9aff1edb806ac799cab5ac2f759c6d69;18S;Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Simplaria;Simplaria potswaldi
03de05ba98d6a95676ab7810ff491e966bdfd49c;18S;Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Spinosphaera;Spinosphaera hutchingsae
b3c65bbfb7077ad3fcdb47646f489c0048b2cc15;18S;Eukaryota;Porifera;Calcarea;Leucosolenida;Sycettidae;Sycon;Sycon abyssale
6e61ccfc9f49b3a4072f7124da6c5b7cd5ce7bbc;18S;Eukaryota;Mollusca;Bivalvia;Cardiida;NA;NA;NA
a51bd6c5a5965876ead501358a2a1c9b7b22e02d;18S;Eukaryota;Mollusca;Polyplacophora;Chitonida;Mopaliidae;Tonicella;Tonicella undocaerulea
a7513a80dc8ca48f7b5e465e12bd24438a08fee6;18S;Eukaryota;Mollusca;Polyplacophora;Chitonida;Mopaliidae;Tonicella;Tonicella undocaerulea
3fbc00d7280707abc33df15638722365ec7488f1;18S;Eukaryota;Mollusca;Polyplacophora;Chitonida;Mopaliidae;Tonicella;Tonicella undocaerulea
35936990786250a82319513f2c392246dea1e221;18S;Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Candidae;Tricellaria;Tricellaria circumternata
59613baa01f4d797cd1215da4bf7fd0333f630dd;18S;Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Candidae;Tricellaria;Tricellaria circumternata
f591d76ece9ba925e02e39b97c0cd5bb1e54ca66;18S;Eukaryota;Mollusca;Bivalvia;Cardiida;Cardiidae;Tridacna;NA
711e419f187dd2661e8166e51023d9bc67a9574f;18S;Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Monostromataceae;Ulvaria;NA
e3c94d07055ffdd8cbafb8bb61c379c39922ab0d;18S;Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvellaceae;Ulvella;Ulvella leptochaete
1933fdaff9e46e6b8d6eaa63a8e8ed5533f76ef3;18S;Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvellaceae;Ulvella;Ulvella leptochaete
34b0740a02cf0c904a25b44a912992740a756cd2;18S;Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Urospora;NA
9e7d6dd38b22b9a6e4946aeaedcb961fc07348e8;18S;Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Urospora;NA
